job_id,created_at,selection_started_at,selected_by_agent_at,scheduled_at,completed_at,exit_status,leader_id
15,1758857898.970777,1758857900.041535,1758857900.561868,0,1758857901.0476642,0,3
13,1758857898.970512,1758857900.041528,1758857900.560245,0,1758857902.558486,0,3
95,1758857907.167816,1758857907.726908,1758857908.2390761,0,1758857928.9233541,0,1
65,1758857904.108199,1758857904.625651,1758857905.13135,0,1758857905.595795,0,3
12,1758857898.970411,1758857900.040643,1758857900.551633,0,0,0,1
72,1758857905.126953,1758857905.675992,1758857906.1864269,0,1758857919.7892108,0,1
36,1758857901.042927,1758857902.5886452,1758857902.592617,0,1758857903.074207,0,3
100,1758857907.167982,1758857907.726922,1758857908.241485,0,0,0,1
73,1758857905.1270342,1758857905.675979,1758857906.1829891,0,1758857921.306645,0,1
78,1758857905.1273978,1758857905.6760168,1758857906.1926541,0,0,0,1
28,1758857900.009474,1758857901.058878,1758857901.061357,0,1758857919.7759628,0,1
79,1758857905.1274629,1758857905.6760042,1758857906.189654,0,1758857922.8325388,0,1
31,1758857901.042559,1758857901.584058,1758857902.0928462,0,1758857904.076886,0,1
70,1758857904.108499,1758857904.654361,1758857905.164095,0,1758857936.0269818,0,1
62,1758857904.108014,1758857904.654345,1758857905.160522,0,1758857919.787727,0,1
11,1758857898.970242,1758857900.04152,1758857900.558645,0,1758857901.0447118,0,3
21,1758857900.008111,1758857901.058889,1758857901.063553,0,1758857901.528651,0,1
74,1758857905.1271071,1758857905.676023,1758857906.194117,0,1758857906.617913,0,1
85,1758857906.148525,1758857906.701337,1758857907.214666,0,1758857936.0283031,0,1
69,1758857904.108444,1758857904.62566,1758857905.134052,0,1758857905.598281,0,3
6,1758857897.936239,1758857899.497377,1758857900.018443,0,1758857900.50118,0,1
94,1758857907.167779,1758857907.726901,1758857908.237801,0,1758857924.359054,0,1
17,1758857898.9709592,1758857900.041484,1758857900.55024,0,1758857901.0286741,0,3
68,1758857904.108377,1758857905.1257138,1758857905.632861,0,1758857906.032953,0,4
92,1758857907.1677,1758857907.726944,1758857908.2450109,0,1758857909.653492,0,1
43,1758857902.06445,1758857903.09838,1758857903.1028538,0,1758857903.580606,0,3
47,1758857902.0646899,1758857903.098388,1758857903.104702,0,1758857903.5818791,0,3
39,1758857901.043099,1758857902.076062,1758857902.082516,0,1758857902.565257,0,3
93,1758857907.167742,1758857907.7269151,1758857908.240261,0,1758857952.6852422,0,1
27,1758857900.009265,1758857901.05894,1758857901.0748951,0,1758857901.5335,0,1
